text	channel	feedbackRating	reviewDate	positiveTopicClass	negativeTopicClass	model
My favourite. The coffee maker I prefer for both coffee and tea we use in the hospital for many people.	amazon.it	4.0	2020-12-22			tiny
Ok. Bought to replace the old one that broke.	amazon.it	5.0	2020-12-02			tiny
Everything ok. Indicated by a friendly person.	amazon.it	5.0	2020-12-02			tiny
Perfect :thumbs_up::thumbs_up:	amazon.it	5.0	2020-11-15			tiny
Descale without chemicals. I did not understand how to clean it from limestone without chemicals, I state that I only use mineral water.	amazon.it	4.0	2021-02-07			tiny
No Title. Very practical.	amazon.it	5.0	2021-01-29			tiny
Makes great coffee. Lavazza ALLAH HAFIZ modo mio tiny.	amazon.it	5.0	2021-03-06			tiny
Does not stop by itself. Does not stop by itself, you have to stay next to it to stop it manually.	amazon.fr	4.0	2021-05-06			tiny
Decalcification! It is important to decalcify periodically.	amazon.it	5.0	2021-06-24			tiny
Beautiful. Family.	amazon.it	4.0	2021-06-18			tiny
I bought 2, all broken after 3 months :thumbs_down:	amazon.it	1.0	2021-10-18			tiny
Excellent coffee. Fourth machine my way.	amazon.it	5.0	2021-10-21			tiny
easy to use quick and easy although a bit noisy it works that's the main thing	ebay.com	5.0	2019-05-30			tiny
SMALL COMPACT. ALL PARTS FIT EFFORTLESSLY, AND CAN GO INTO DISHWASHER.	ebay.com	5.0	2018-08-30			tiny
good article well done	amazon.it	5.0	2023-04-30			tiny
broken machine The machine arrived broken in the water section and without capsules	amazon.it	1.0	2023-03-07			tiny
Great in every way!:green_circle:. As already mentioned.	amazon.it	5.0	2022-09-24			tiny
Excellent ______	amazon.it	5.0	2023-08-14			tiny
Not bad. This is the second one I retire.	amazon.it	4.0	2020-06-14			tiny
If it's normal for the plug to be like this. I have no words. Totally disappointed. Just cable like this.	amazon.it	1.0	2019-10-31			tiny
Arrived Wrong Arrived but with a plug not suitable for our sockets... negative review only for the error.	amazon.it	1.0	2019-10-30			tiny
Good Quality...	amazon.it	5.0	2021-07-31			tiny
Lavazza a modo mio tiny. The excellent machine too bad there were no 64 lavazza capsules.	amazon.it	1.0	2019-05-01			tiny
Easy to use. Heat very well before each coffee, the result leaves you speechless.	amazon.it	5.0	2019-12-09			tiny
Lavazza my way. It's a gift, but we have a similar one in the office.	amazon.it	4.0	2018-12-03			tiny
Non-Italian press. It's not an Italian plug, so I will have to buy the adapter!	amazon.it	1.0	2019-11-14			tiny
"""LAVAZZA IS NUMBER 1"" EVERYTHING."	amazon.it	5.0	2022-02-24			tiny
Nice. A1.	amazon.it	5.0	2021-06-05			tiny
Small compact quick to heat up good for making a coffee in the office. Gifted to my son who uses it in his store.	amazon.it	4.0	2021-05-21			tiny
G. Everything.	amazon.it	5.0	2022-02-17			tiny
My Italian boyfriend loves it! He moved to the U. S. where we met, and was complaining that coffee is not the way it was back home. I bought him this machine for Valentine's Day. He makes about 4 cups a day now! I did have to buy a voltage adapter to make it work here, which we attached to the wall beside the coffee maker.	amazon.co.uk	5.0	2023-03-08			tiny
Alles top! Simply top!	amazon.de	5.0	2022-10-24			tiny
Gift. Gift	amazon.fr	5.0	2019-11-08			tiny
Normal Normal	amazon.it	2.0	2024-05-23			tiny
Not Good I received the coffee machine home both the pods inside the are expired 30/04/2022 so ho don't receive them your lucky :thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down:	amazon.co.uk	1.0	2023-01-18			tiny
Don't buy This comes with a 2-pin plug that is not suitable for use in the UK. Also, the 64 coffee capsules that were supposed to be included in the price were not in the parcel.	amazon.co.uk	1.0	2022-10-27			tiny
Great coffee machine Easy to use, not too big, up to temperature quickly and the coffee is great tasting. The white finish fits into our kitchen well. The only slight downside is the pump on this machine is quite loud when in use, louder than the previous Lavazza pod machine we had. I'd still buy another one though and have recommended this model to some friends.	ao.com	5.0	2020-06-25	Coffee Quality, Design and Materials, User Experience	Maintenance and Durability, Machine Performance	tiny
Missing parts and scuffed all over Arrived in a reseller box, no complimentary coffee pods, no drip tray, scuffs all over top and sides like it was a display model. Sent photos and no responses	ao.com	1.0	2020-07-24		Maintenance and Durability, User Experience	tiny
Best coffee maker EVER!!!! 10/10 What a great cup of coffee from this little Lavazza beauty, it doesn't get better than this! It's just so good! Can you tell I'm impressed! Excellent Espresso! Cute and compact Guilt free compostable eco pods! Living Lavazza Loca	ao.com	5.0	2020-06-25	Coffee Quality, Design and Materials, Capsules and Compatibility		tiny
Tiny but excellent This coffee machine is easy to use, makes great coffee (hotter and stronger than my old Lavazza machine). I'm really happy with this purchase.	amazon.co.uk	5.0	2018-12-02	Coffee Quality, Design and Materials, User Experience		tiny
Great tasting coffee, great price! Ordered this after our cabin on a cruise ship had one and loved it! Great little machine, add plenty of hot water and milk for a longer drink. Eco pods are a plus. Fantastic tasting coffee. 5 stars!	amazon.co.uk	5.0	2020-02-19	Coffee Quality, Capsules and Compatibility		tiny
Excellent A+++ Great product	amazon.co.uk	5.0	2020-01-21	User Experience		tiny
Makes good espresso coffee. I wish now I had bought a larger model. Typically slow for these machines.	amazon.co.uk	4.0	2019-08-28		Machine Performance	tiny
Great value, tasty Italian coffee capsule machine Recommended by Which and thoroughly deserves the award. Terrific tasting Italian espresso coffee. Very small, compact, well made machine, which is very easy to use. No milk frother, which suits me as I prefer black coffee. Just a pity the pods are not yet compostable or recyclable. A little noisy too which means 4 stars.	amazon.co.uk	4.0	2019-10-22	Maintenance and Durability, Coffee Quality, Design and Materials, User Experience	Environmental Impact, Machine Performance, Capsules and Compatibility	tiny
Received faulty machine, Lavazza not responding I received a faulty machine. After sending detailed email to the seller (with the videos clearly showing that the product does not work) and kindly asking for contact on the seller's Facebook profile, I still have not heard from Lavazza. I do not recommend it at all. I understand that faulty products do happen occasionally. However, complete lack of response from Lavazza shows very little care for the customers.	amazon.co.uk	1.0	2019-04-14		Maintenance and Durability, Design and Materials, Services and Logistics, User Experience	tiny
A simple but noisy machine This is a very simple machine, one button and one draw. It works pretty well, the coffee is just a tiny bit cold but not enough to worry if it is drunk straight away. The cartridges will probably have to come from the Internet. The downside is that the machine is noisy. I've stood mine of a plastic mat that helps a bit but this is not a machine to use at six in the morning when everyone else is asleep.	amazon.co.uk	3.0	2020-06-24	User Experience	Machine Performance, User Experience	tiny
Quick and easy, great coffee! Great coffee, nice countertop profile. No need for a larger machine, you can do a lungo if you prefer. Great price too! It helps to prewarm your cup with hot water, but that goes for any coffee maker.	amazon.co.uk	5.0	2019-08-31	Price & worth, Coffee Quality, Design and Materials		tiny
Great Coffee Machine It is a great coffee machine, I'm not quite sure why all the negative reviews. Especially for the price you pay and when you combine it with the frother, it is the perfect combination. Swapped my DeLonghi for this as it was dripping constantly after making a coffee and could not be happier! I just wish they would be more options in terms of capsules like the Nespresso has.	amazon.co.uk	5.0	2020-01-20	Price & worth, Maintenance and Durability	Maintenance and Durability, Capsules and Compatibility	tiny
Easy to use. My son uses it every day.	amazon.co.uk	5.0	2020-01-15	User Experience		tiny
Great little thing! It makes a loud noise for the size of it, but it’s the coffee it produces that counts. Quick and easy to use.	amazon.co.uk	5.0	2020-05-03	User Experience	Machine Performance	tiny
Ideal for one person Just what I wanted	amazon.co.uk	5.0	2020-02-16	User Experience		tiny
It makes a great espresso, easily and cheaply. On special offer with 9 free taster capsules, what's not to like? It makes espressos or longos, lavazza capsules are the best. Can't go wrong with the rosso though i am trying them all, slowly. A little noisy but on a solid surface it's fine. tightens my mornings at work	amazon.co.uk	5.0	2019-09-15	Machine Performance, Design and Materials	Machine Performance	tiny
Good coffee machine Easy and quick to use makes great coffees	amazon.co.uk	5.0	2020-01-02	Coffee Quality, User Experience		tiny
Easy to use Great tasting coffee	amazon.co.uk	5.0	2019-06-04	Coffee Quality		tiny
Value for money Value for money. Quality same as lavazza but cheaper	amazon.co.uk	5.0	2019-11-01	Price & worth, Design and Materials		tiny
Does the job A little bit more noisier than my last machine but adequate for brewing coffee.	amazon.co.uk	5.0	2019-11-08		Machine Performance, Design and Materials	tiny
Great coffee machine for the price Easy to use and good value for money.	amazon.co.uk	5.0	2019-12-27	Price & worth, User Experience		tiny
Easy to use, neat, compact design Great value for money. Love it!!!	amazon.co.uk	5.0	2020-03-12	Price & worth		tiny
OK basic coffee machine Quick and easy tu use easy to clean	amazon.co.uk	3.0	2020-01-23	User Experience		tiny
Great product simple controls Great product simple controls. Has single pod tray so loads single pod. You control the volume of water had has no cut off automatically. No issues with that for me cause can vary the water to my taste. Sufficient water reservoir for several cups. Great range of pods available. Very small footprint if you have limited space.	amazon.co.uk	5.0	2019-12-25	Design and Materials, User Experience, Capsules and Compatibility	Maintenance and Durability, User Experience	tiny
Great coffee machine Sturdy little coffee machine, great choice of coffee and easy to use. I drink expresso, so this suits me down to the ground. I have had this machine for nearly 5 months now and it doesn’t disappoint.	amazon.co.uk	5.0	2020-04-29	User Experience, Capsules and Compatibility		tiny
Not as good quality as our last one. Stopped working after just 4 months, waiting for a reply from seller on a refund or replacement. Very disappointing	amazon.co.uk	1.0	2019-06-11		Maintenance and Durability, Services and Logistics	tiny
Great Office Coffee Machine Really great for making espresso and very clean to operate. Puts out very little waste water, so great for an office machine.	amazon.co.uk	4.0	2020-01-14	User Experience		tiny
Great taste Simple to use and great tasting coffee. Like the bigger water tank.	amazon.co.uk	5.0	2019-11-21	Coffee Quality, User Experience		tiny
Not happy Bought as a Christmas present for my husband. Only used once a day. Blew up yestersay after just less than 6 months. Not happy	amazon.co.uk	1.0	2019-06-12		Maintenance and Durability	tiny
Tiny coffee machine for my tiny house It was a while I wanted to try a capsule machine and with this I wasn't disappointed. It takes so little space, it's ready in seconds and does a great job. The quality of coffee varies depending on the brand you use, but after 3 months I would say it's a worthy buy for a first timer.	amazon.co.uk	5.0	2019-12-04	Design and Materials, User Experience	Coffee Quality	tiny
LOVE IT Small, clean, huge taste, looks like a toy. I had a Dolce Gusto before but the taste of the coffee was not strong at all so I decided to change to Lavazza. I made the best decision !!! Different flavours, different intensity and different style. Now I love to drink coffee again. :red_heart:	amazon.co.uk	5.0	2019-06-07	Coffee Quality, User Experience		tiny
Grazie! Love it Love it amazing price easy and tasty espresso coffee and lattes	amazon.co.uk	5.0	2020-07-06	Price & worth, Coffee Quality, User Experience		tiny
Great small coffee maker. Great small Lavazza coffee machine.	amazon.co.uk	4.0	2019-11-17	Design and Materials		tiny
Great Coffee! Easy to use and makes great coffee. Is a little noisy but no more than when a kettle is boiling!	amazon.co.uk	4.0	2020-02-20	Coffee Quality, User Experience	Machine Performance	tiny
Small and good Perfect for my kitchen. Loving the coffee.	amazon.co.uk	5.0	2018-10-17	Coffee Quality, Design and Materials		tiny
Great little machine and great selection of coffee blends to choose from I just love my Tiny'. He may be tiny but he sure 'pulls a punch! This machine delivers an excellent cup of coffee every time and very speedily at that. It's easy to operate and keep clean. And thank you very much for the enclosed samples of your coffee pods delivered with the machine (ranging from strong to milder). I hadn't expected that and it gave me the chance to taste and select those I felt would suit me best before going ahead and buying a box full. I am loving your 'Dolce' coffee pods at the moment and have gone through quite a few boxes of them already I must admit! If I hadn't had to self-isolate I would not have bought a coffee machine and discovered just how delicious your coffee was! Thanks very much m.s.	amazon.co.uk	5.0	2020-06-11	Coffee Quality, User Experience		tiny
Great Perfect.	amazon.co.uk	5.0	2020-03-08	User Experience		tiny
Great value small machine Birthday gift for my mum. Easy to use. Very compact and looks nice.	amazon.co.uk	5.0	2019-11-11	Design and Materials, User Experience		tiny
Great coffee, but non recyclable pods Great coffee with the lavazza pods, but they cannot be recycled. A reusable pod has to be filled with ground coffee is better for the world, but the resulting coffee is nowhere as good taste.	amazon.co.uk	4.0	2019-12-10	Coffee Quality	Environmental Impact, Coffee Quality	tiny
Great coffee Much better than our previous Nesspresso Coffee hot and full of flavour Thanks	amazon.co.uk	5.0	2019-05-12	Coffee Quality, Design and Materials		tiny
Nice simple machine, no used cartridge container which prevents smelliness Great product, very good value. I like the way it takes only one pod at a time, other machines pop the pod into a storage area underneath which can smell like fart if not constantly washed (and some are difficult to wash properly), this seems more hygienic. The only slight issue with this one is the vibration.	amazon.co.uk	5.0	2019-11-13	Price & worth, Coffee Quality	Maintenance and Durability	tiny
Value for money Small and easy to use and cffe flavour is amazing	amazon.co.uk	5.0	2019-11-20	Coffee Quality, User Experience		tiny
It’s very small Very good all you can aspect for small price it’s simple but efficient	amazon.co.uk	5.0	2020-05-11	Price & worth, User Experience		tiny
Compact and fits everywhere Great compact machine. Easy to operate and delicious aromatic coffee. Not too noisy and very fast heating the water.	amazon.co.uk	5.0	2020-01-08	Machine Performance, Coffee Quality, Design and Materials, User Experience		tiny
Coffee Good enough for reduced price, not worth the full price. Very noisy. Plus you can't fit a mug under it without removing the drip tray. I use it for work so not too bothered, but wouldn't be happy with it at home.	amazon.co.uk	3.0	2020-03-08	Price & worth	Price & worth, Machine Performance	tiny
Small excellent machine Making coffee is a delight with this little machine. The flavour obviously depends on the coffee blend. But I would certainly recommend this machine.	amazon.co.uk	5.0	2019-04-30	Design and Materials		tiny
Good Small compact perfect	amazon.co.uk	5.0	2020-04-25	Design and Materials		tiny
Noisy espresso machine I have been a Lavazza customer since I moved out for my University degree and I'd say I wouldn't have survived without my espresso. This is the second Lavazza Espresso machine I bought (I had a Lavazza Minú before this) and I always found them very easy to use, cheap and a perfect espresso-maker. This new Lavazza Tiny is a very strong machine (12 bar pressur pump) which will give you a dense, creamy espresso always at the right temperature. For best results, however, I recommend to warm your cup with boiling water. Secondly, it is very small, easy to use (only 1 button to press) and compact coffee machine that you can fit everywhere in your kitchen and it is also a very nice piece of furniture. It will come with a voucher to buy some original Lavazza coffee pods for free, but I recommend to use Borbone Gold for best results (cheaper and tastier than original one). Overall it does the job making small or long coffees but it has two downsides, in my opinion : 1) The water tank is a bit small (0.75L ) and should be refilled constantly 2) The noise!! This is probably the worst aspect of this machine because it is quite noisy and if you are an early-morning person like me it could be a problem.	amazon.co.uk	4.0	2020-07-07	Machine Performance, User Experience, Design and Materials, Coffee Quality, Services and Logistics	Maintenance and Durability, Machine Performance	tiny
It's Not White. Bought this to compliment my white kettle and toaster but on unpacking it I found that it was not pure white. I would describe the colour as 'off white' or cream. A pity as it's a nice small appliance and fitted my space perfectly. Obviously I can't speak to its operation as i never used it !	amazon.co.uk	2.0	2019-09-17	Design and Materials		tiny
Super easy and does the job- love it! This is a great little addition to the kitchen if you’re just after a good espresso or Americano coffee. It’s compact and super easy to use. Comes with a taster box of capsules to find your ideal taste/strength.	amazon.co.uk	5.0	2019-09-12	Coffee Quality, Design and Materials, User Experience		tiny
Brilliant little machine Brilliant machine, we were looking for something easy to use which didn't take up too much space....this one fits the bill perfectly. Really pleased	amazon.co.uk	5.0	2020-07-15	Design and Materials, User Experience		tiny
It’s ok.. Vibrates pretty dramatically when in use. - cup often falls out	amazon.co.uk	3.0	2020-02-22		Maintenance and Durability	tiny
Great for deaf masochists Do you enjoy the sound of jackhammers and road drills? Do you own the world's smallest cups? Is your idea of fun holding onto a filling cup so it doesn't vibrate off the coffee machine and all over your countertops? Then this is the machine for you. Guaranteed to help you and your neighbours wake up in the mornings, with its coffee-creating roar, dancing across the kitchen sounding like a 737 on take off, dribbling lukewarm coffee into your thimble-sized cup.	amazon.co.uk	1.0	2019-08-14	User Experience	Maintenance and Durability, Machine Performance	tiny
Fabulous I absolutely love this coffee machine, very easy to use and it looks very nice too in my orangery. I'm in love with it.	amazon.co.uk	5.0	2019-11-27	Design and Materials, User Experience		tiny
Coffee I love the fact that it’s so easy to use.	amazon.co.uk	5.0	2020-04-24	User Experience		tiny
Makes a great Americano! A perfect machine for me! Easy to use and easy to clean. And a great price.	amazon.co.uk	5.0	2020-02-19	Price & worth, User Experience		tiny
BetteR reviews than the lavazza bigger Machines and excellent little machine. I had the previous model for 6 years and replaced it. Excellent reviews, neat, compact and very pleased.	amazon.co.uk	5.0	2020-06-18	Design and Materials		tiny
Great machine! Great machine! Easy and quick to use. Lavazza coffee is the best, and this machine is the ideal way to prepare an authentic espresso. Very pleased.	amazon.co.uk	5.0	2019-05-11	User Experience		tiny
Great! But problem with pod tray. I loved this immediately on opening. Used it (very simple) and great coffee, however on second use, the pod tray will not release. Nothing will budge it. I contacted Lavazza for troubleshooting support but was told it had to be returned to seller. Now waiting for a response. I did ask for a replacement but seems it defaults to refund. It’s a shame because it’s a great little machine. I purchased the milk frothing machine to go with it. Great bit of kit. I’m going to miss it until I can replace it. Would have given 5 stars if it wasn’t for this fault.	amazon.co.uk	3.0	2019-03-08	Coffee Quality, User Experience	Services and Logistics, Capsules and Compatibility	tiny
Fab! Fab! Can't believe you can get something so perfect so inexpensively ! Have used with pods and coffee wonderful.	amazon.co.uk	5.0	2020-01-23	Price & worth, Coffee Quality		tiny
Great little coffee machine Great little machine to replace my 8 year old lavazza machine which unfortunately have up the ghost. Easier to clean and maintain and makes great coffees.	amazon.co.uk	5.0	2020-02-15	Coffee Quality, User Experience		tiny
Good coffee flavour. Nice machine could be better for larger cups without removeing the drip tray lid.	amazon.co.uk	5.0	2020-01-05			tiny
Good value Good value small machine which makes excellent coffee. Doesn’t have automatic dispense feature like my larger machine but soon get used to when to stop.	amazon.co.uk	5.0	2019-09-06	Coffee Quality, Design and Materials		tiny
Great little machine Highly recommend this neat & adequate machine. Just the right size if all you want is a great expresso coffee. Hardly any cleaning involved.	amazon.co.uk	5.0	2019-08-15	Coffee Quality, Design and Materials		tiny
Fabulous Amazing product and worth every penny	amazon.co.uk	5.0	2019-10-17	Price & worth		tiny
Easy to use. Great coffee. Great little machine. Easy to use, no fuss, great coffee.	amazon.co.uk	5.0	2020-07-15	Maintenance and Durability, Coffee Quality, User Experience		tiny
Best cup of coffee I have six different coffee machines and the last one I purchased was a lavazza An older model and desperately tried to get hold off the water jug at the back of the machine but no one seems To do the spare part as mine had broke transporting it totally my fault. So when I spotted this machine at Amazon on offer I purchased it as I found with the last machine it was definitely the best tasting coffee out of the other five coffee machines I have. And a big plus is now you can buy the compatible pods to fit it Which works out about 10p a cup which is great I would definitely Recommend this machine you can’t go wrong	amazon.co.uk	5.0	2020-01-15	Coffee Quality, Design and Materials, Capsules and Compatibility		tiny
Love it! Love it. Very good value for money,	amazon.co.uk	5.0	2019-10-31	Price & worth		tiny
Very good & practical coffee maker! Very happy with this coffee maker, flavour of lavazza coffee superb!	amazon.co.uk	5.0	2020-07-20	Coffee Quality		tiny
Successful gift Bought this as a gift for my hubby and he loves it	amazon.co.uk	5.0	2020-01-27	User Experience		tiny
Great budget coffee maker I also have a Lavazza Jolie Plus, which is more than double the cost. This newer model is well thought out, and I would buy this rather than the more expensive models - higher water capacity, easy to use. Doesn't have programmable volume dispensed, but that doesn't work very well on Jolie Plus anyway	amazon.co.uk	5.0	2020-02-21	Maintenance and Durability, User Experience	Capsules and Compatibility	tiny
Brilliant I was looking at these and Nespresso machines for a long time and the pods and cost. Lavazza was cheaper. I wasn't crazy about the Lavazza filter coffee I'd had in the past, it was fine but nothing special, just good plain coffee. In the end I saw this tiny in white for 35 quid and thought let's try it, Lavazza is quality, and I'd never had pod coffee before. The machine is cute and so small. I have it in my bedroom near desk. Very easy to install and use. People are having problems with the pod tray? No idea what they're talking about. Easy to use. You get a small box with selection of different coffees, tried them, not a bad one but I have my preferences, I bought Pasionale in bulk from amazon at very cheap price. Awesome taste. I won't be going back to filter coffee. I plan at some point to get a Nespresso (in a few months) too so I can have both probably but for now I'm so happy with this, way better than expected, couldn't live without it now. Its so small that it's very portable too. One of the best purchases I've made. Anyone who sees it wants one. Coffee pod reviews, brief: 1. pasionale - chocolatey, strong. bought from amazon 256 pods for 50gbp, great price. 2. qualita rossa - standard coffee taste, strong, good for everyday. 3. tierra bio - light, slight choc, floral, easy to drink. won't buy again: 4. delizioso - mild, not keen on aftertaste. ones i haven't tried yet: 5. decaff - haven't tried. i dont drink decaff. 6. lungo dulce - larger coffee, haven't tried. 7. espresso intenso - havent tried, will try next. the strongest.	amazon.co.uk	5.0	2020-06-07	Price & worth, User Experience, Design and Materials, Coffee Quality, Services and Logistics, Capsules and Compatibility	Coffee Quality	tiny
Not the best The second one i have first was ace lasted 3 years or so . This one is rubbish	amazon.co.uk	3.0	2020-01-05		User Experience	tiny
Great quality Very good machine	amazon.co.uk	5.0	2020-01-30	User Experience		tiny
First class. First rate coffee. Its what I look forward to most first thing in the morning.	amazon.co.uk	5.0	2020-01-01	User Experience		tiny
Great little machine, but!! Really wanted to like this machine as it appears really well made and compact. Coffee is made quite quickly and all of the range of pops taste nice. The pod how;der has a particularly nice feel to it when replacing pods. If you drink your coffee as espresso in a small espresso cup/glass I'm sure you'll be delighted with this machine. However, if you like a longer coffee in a taller mug as latte or cappucchino then the machine is not ideal as in order to get a mug under the delivery nozzle it is necessary to remove the stand/drip tray before positioning a mug. This is a bit inconvenient, but becomes more of a problem if you do not hand hold the mug in place whilst the machine is brewing as it vibrates to the extent that the mug moves from under the nozzle and your coffee goes over the work surface. I returned our two machines for this reason and bought the Idola model instead which we are very pleased with despite it being 3 times the price.	amazon.co.uk	4.0	2019-12-27	Price & worth, Coffee Quality, Design and Materials, User Experience	Maintenance and Durability	tiny
Waste of money The coffee out of this machine is tasteless plus it was not very hot. The machine is now in the refuse centre as the spent capsule somehow got stuck. I had 2 indifferent cups of coffee; the third capsule refused to come out, it was obviously so embarrassed at its lack of taste it jammed its lid against the draw opening. Save your money, look elsewhere.	amazon.co.uk	1.0	2019-05-31		Design and Materials, Coffee Quality, Machine Performance	tiny
Small, pretty and high quality Great size; small neat and excellent quality manufacturing . Use it daily and live it!	amazon.co.uk	5.0	2020-06-29	Design and Materials		tiny
coffee machine First time having a coffee work really nice easy to use	amazon.co.uk	5.0	2020-04-29	User Experience		tiny
Best espresso machine! It is so practical and it makes such a good coffee! Very good price as well!	amazon.co.uk	5.0	2020-01-14	Price & worth, Coffee Quality, User Experience		tiny
espresso like in a cafe bought for my girlfriend, we both love it for the facility of use and the taste of the espresso	amazon.co.uk	5.0	2020-04-28	Coffee Quality, User Experience		tiny
Good I love it, it’s just a bit noisy	amazon.co.uk	5.0	2020-01-10	User Experience	Machine Performance	tiny
Excellent Optimum product	amazon.co.uk	5.0	2019-06-25	User Experience		tiny
Best Buy Ever! Wish I had bought one sooner! Incredible little machine with the power of the big one for a great price and fits absolutely lovely in my small kitchen. We’re having amazing coffee every morning before work now and family and friends love it when they come over.	amazon.co.uk	5.0	2020-01-11	Price & worth, Coffee Quality, Design and Materials		tiny
Great coffee not the best machine... It was just so noisy. The coffee was really good but the machine just vibrates so badly that my mug would fall off if I didn’t hold it. I ended up buying the modo mio desea. Which is amazing and has an inbuilt frother too.	amazon.co.uk	2.0	2020-02-13	Maintenance and Durability, Coffee Quality	Maintenance and Durability, Machine Performance	tiny
Good product at a great price Great little machine, I've owned 2 nespresso machines in the past and recently used one of these in Italy, I was so impressed I bought one when I returned home. Makes great Italian blend coffee .... check out the caffe bourbon range of pods	amazon.co.uk	5.0	2019-10-27	Coffee Quality		tiny
Great Coffee Great tasting coffee quick and easy. I prefer to Nespresso	amazon.co.uk	5.0	2019-12-10	Coffee Quality, Design and Materials, User Experience		tiny
A modo mio So all perfect... The machine work very well... Best price and best seller	amazon.co.uk	5.0	2020-02-20	Price & worth		tiny
Easy to use Great	amazon.co.uk	4.0	2019-08-01	User Experience		tiny
Very good the advice is excellent warms up immediately and makes excellent coffee	amazon.co.uk	5.0	2019-11-19	Coffee Quality, User Experience		tiny
You get what you pay for As others have said this machine is quite noisy. If you don’t mind the noise as well as having to hold the cup whilst the machine is working then go for it. I don’t mind as the price is low and so are my expectations. Hold the cup, wear earplugs and you should be fine	amazon.co.uk	1.0	2019-09-30	Price & worth, Machine Performance	Machine Performance	tiny
