text	channel	feedbackRating	reviewDate	model	positiveTopicClass	negativeTopicClass	primaryPositiveAspect	primaryNegativeAspect
Ok Great product	amazon.it	4.0	2023-07-18	tinyeco	NONE	NONE	NONE	NONE
Everything OK except the communication with the seller. The machine is perfect in its simplicity. The seller did not respond to the request for proof of purchase.	amazon.it	5.0	2023-07-10	tinyeco	Design and Materials	Services and Logistics	Perfect simplicity	NONE
Product ok. Shipping to be improved Lavazza tiny ok. Shipping with sda/poste italiane not recommended, we had difficulty receiving what we ordered	mediaworld.it	4.0	2023-08-20	tinyeco	NONE	Services and Logistics	NONE	NONE
As I expected! I bought this item online and it is exactly as I expected: small, functional, perfect! Excellent value for money	mediaworld.it	5.0	2023-08-20	tinyeco	Price & worth, Design and Materials, User Experience	NONE	Excellent value	NONE
Lavazza Tiny Unfortunately I don't like the coffee, it comes out cold and too long even though I stop the button first. The tank is tiny. I expected better.	mediaworld.it	1.0	2023-08-27	tinyeco	NONE	Coffee Quality, Machine Performance, Maintenance and Durability	NONE	NONE
Fantastic Excellent coffee machine. I recommend using softened water to avoid limescale problems.	amazon.it	5.0	2023-09-23	tinyeco	Machine Performance	NONE	Excellent coffee machine	NONE
Aesthetically very nice product. Something not thought of by the buyer, water container capacity quite small. Stagnant water and coffee storage container almost non-existent	mediaworld.it	3.0	2023-09-05	tinyeco	Design and Materials	Maintenance and Durability	Aesthetically very nice product	NONE
Excellent I bought this machine for a gift. I would say that the gift was appreciated :winking_face:	mediaworld.it	5.0	2023-09-18	tinyeco	NONE	NONE	NONE	NONE
Coffee machine Material as requested.Shipping as always fast.	amazon.it	5.0	2023-09-19	tinyeco	Services and Logistics	NONE	Fast shipping	NONE
Great product I bought this product a week ago and it is really great	mediaworld.it	5.0	2023-10-06	tinyeco	NONE	NONE	NONE	NONE
Small and functional Machine that takes up little space, excellent coffee, beautiful to look at	mediaworld.it	4.0	2023-10-03	tinyeco	Design and Materials, Coffee Quality	NONE	Excellent coffee	NONE
Arrived quickly and everything in order. Good product!! As expected. Excellent!!!! I will buy again.	mediaworld.it	5.0	2023-10-20	tinyeco	Services and Logistics	NONE	Quick delivery	NONE
Great machine. Good value for money. Arrived on time.	mediaworld.it	5.0	2023-10-17	tinyeco	Price & worth, Services and Logistics	NONE	Good value for money	NONE
Coffee machine Beautiful, convenient and efficient. Easy to use and clean.	amazon.it	5.0	2023-09-29	tinyeco	Design and Materials, User Experience	NONE	Beautiful design	NONE
Good value for money, arrived on time. The coffee is good, the water tank is a little small. I use it for a second home.	amazon.it	4.0	2023-10-27	tinyeco	Price & worth, Services and Logistics, Coffee Quality	Maintenance and Durability	Good value for money	NONE
Great espresso machine Great espresso machine	amazon.it	5.0	2023-10-01	tinyeco	NONE	NONE	NONE	NONE
Good coffee Maybe it's early to review, but at the moment I can say that it's a good purchase... I was used to pods, but I have to say that the coffee is good and the machine is functional, simple and silent. I recommend it	amazon.it	5.0	2023-10-06	tinyeco	Coffee Quality, Machine Performance, User Experience	NONE	Good coffee	NONE
Excellent machine, very good coffee. Small, comfortable and very good coffee... The only flaw is the small water container for those who make many coffees in a day, but it's definitely a bearable problem.	amazon.it	4.0	2023-10-05	tinyeco	Machine Performance, Coffee Quality, Design and Materials	Maintenance and Durability	Very good coffee	NONE
Top Top machine, right tank, only thing small drawer underneath for collecting the coffee	mediaworld.it	5.0	2023-11-26	tinyeco	Machine Performance, Design and Materials	Maintenance and Durability	Top machine	NONE
great features I bought this item 1 month ago and I am very satisfied	mediaworld.it	5.0	2023-11-29	tinyeco	NONE	NONE	NONE	NONE
Great. Good for now.	amazon.it	5.0	2023-11-26	tinyeco	NONE	NONE	NONE	NONE
Satisfied Really great. I am very satisfied with the purchase.	amazon.it	5.0	2023-12-07	tinyeco	NONE	NONE	NONE	NONE
Too big Definitely a nice coffee maker, but that's what I was looking for. Too big with a small water tank	amazon.it	4.0	2023-12-19	tinyeco	NONE	Design and Materials, Maintenance and Durability	NONE	NONE
Top quality price! As I expected!! Excellent quality price!! Rating 9!	mediaworld.it	4.0	2023-12-01	tinyeco	Price & worth	NONE	Excellent quality price	NONE
Nothing short of wonderful. I highly recommend this coffee machine, it makes exceptional coffee! It always depends on the brand of coffee you use but it's like at the bar. I bought both Lavazza capsules and Borbone capsules and I was very happy with them.	amazon.it	5.0	2023-12-16	tinyeco	Coffee Quality, Brand Awareness	NONE	Exceptional coffee	NONE
product complaint the machine leaks water at the base. under the warranty I took it to mediaword for repair, but time passes and I find myself without a machine. for this reason I bought another one with the hope that it does not have the defect found in the first one. I made several phone calls but no one was able to give me an answer for the return (after repair)	mediaworld.it	2.0	2024-01-19	tinyeco	NONE	Machine Performance, Services and Logistics	NONE	NONE
mediaworld disappointment They ask if you want to return WEEE and if you accept they send you amazon shipping which does not collect....better to buy directly from amazon	mediaworld.it	1.0	2024-01-26	tinyeco	NONE	Services and Logistics	NONE	NONE
Excellent performance I am very satisfied with the purchase, excellent quality/price ratio	mediaworld.it	5.0	2024-01-11	tinyeco	Machine Performance, Price & worth	NONE	Excellent performance	NONE
Perfect! I bought this item a few weeks ago and I am very satisfied. Good coffee, and very simple machine to use.	mediaworld.it	5.0	2024-02-15	tinyeco	Coffee Quality, User Experience	NONE	Good coffee	NONE
Excellent Excellent functionality and excellent coffee quality. It is worth taking it, trying it and making it an object of your everyday life.	mediaworld.it	5.0	2024-02-02	tinyeco	Machine Performance, Coffee Quality	NONE	Excellent coffee quality	NONE
Perfect tiny lavazza A 5 star coffee thanks m word the tiny machine is fantastic and very easy to use.	mediaworld.it	5.0	2024-02-03	tinyeco	Coffee Quality, User Experience, Design and Materials	NONE	Fantastic and easy to use	NONE
Very good for families I bought this item a month ago and I am very happy	mediaworld.it	5.0	2024-03-23	tinyeco	NONE	NONE	NONE	NONE
I strongly advise against it. The machine did not convince me from the start, shortly after it started to make disgusting coffee, I tried to wash it and change several brands of coffee including the original ones, nothing doing, I contacted the seller who advised me to contact Lavazza assistance directly, my mother same product same identical problem.	amazon.it	1.0	2024-03-16	tinyeco	NONE	Machine Performance, Coffee Quality, Services and Logistics	NONE	NONE
It's not worth the price It's not worth the price, 80/90€ and it doesn't even have a capsule holder. Each pod has to be put in and taken out.	mediaworld.it	3.0	2024-04-16	tinyeco	NONE	Price & worth, Design and Materials	NONE	NONE
Product compliant with the presentation! :beaming_face_with_smiling_eyes: Product compliant with the presentation! :beaming_face_with_smiling_eyes: The only flaw is Disappointed by the delivery methods of the courier in charge!!!!!!	amazon.it	5.0	2024-05-21	tinyeco	Design and Materials	Services and Logistics	Product compliant with presentation	NONE
Excellent. Very convenient and space-saving. The coffee is excellent and always hot. I am totally satisfied.	mediaworld.it	5.0	2024-06-27	tinyeco	Coffee Quality, Design and Materials, User Experience	NONE	Excellent coffee	NONE
Tank. Nice car only problem very small tank.	mediaworld.it	3.0	2024-07-26	tinyeco	Design and Materials	Maintenance and Durability	Nice car	NONE
:smiling_face_with_hearts: Super.	amazon.it	5.0	2024-07-07	tinyeco	NONE	NONE	NONE	NONE
Macchian tiny eco. The tank is small and honestly the first tiny model seemed better to me.	amazon.it	4.0	2024-07-08	tinyeco	NONE	Design and Materials, Maintenance and Durability	NONE	NONE
Excellent! Finally a Lavazza machine that doesn't leak water like the previous ones. Really kind seller, I contacted him about a delay in delivery and he solved the problem quickly.	amazon.it	5.0	2024-07-28	tinyeco	Services and Logistics, Machine Performance	NONE	Kind seller	NONE
Does its job. Light easy to clean, good coffee I recommend.	amazon.it	3.0	2024-07-20	tinyeco	Coffee Quality, Design and Materials	NONE	Good coffee	NONE
Great product. As described.	amazon.it	5.0	2024-07-22	tinyeco	NONE	NONE	NONE	NONE
It has a little small water tank. Good coffee maker, creamy and good coffee.	amazon.it	4.0	2024-07-17	tinyeco	Coffee Quality	Maintenance and Durability	Creamy and good coffee	NONE
Excellent. Excellent and delivered on time.	amazon.it	5.0	2024-07-16	tinyeco	Services and Logistics	NONE	Delivered on time	NONE
FLASH delivery. I didn't even have time to order this coffee maker. The courier rings to deliver it! Top 10+ product Recommended seller.	amazon.it	5.0	2024-07-16	tinyeco	Services and Logistics	NONE	FLASH delivery	NONE
Order and product good. Product good as described. Delivered in 3 days but wrong color. Ordered white but received black.	amazon.it	2.0	2024-07-18	tinyeco	Services and Logistics	Design and Materials	Good product	NONE
Product intact and well packaged. Excellent coffee machine.	amazon.it	4.0	2024-07-12	tinyeco	Design and Materials, Machine Performance	NONE	Excellent coffee machine	NONE
A name, a guarantee Excellent quality-price ratio. Recommended.	amazon.it	5.0	2024-08-05	tinyeco	Brand Awareness, Price & worth	NONE	Excellent quality-price ratio	NONE
Lavazza Tony Eco Exceptional product! Practical and professional.	amazon.it	5.0	2024-07-27	tinyeco	Brand Awareness, Design and Materials, User Experience	NONE	Exceptional product	NONE
Excellent product, excellent quality/price ratio	amazon.it	5.0	2024-08-22	tinyeco	Price & worth	NONE	Quality/price ratio	NONE
Excellent coffee, small tank, excessively small tray I have the previous model that I use in another house and, since the old tiny one is no longer in production, I decided to buy this one. The positive side is that it makes excellent coffee and takes very little time to heat up. Noisier than the previous one, it also has a couple of other slightly unpleasant defects: the water tank is very small and must be filled continuously and the water collection tray is really tiny and, even if emptied every 3 or 4 dispensings, it fills up and lets the water overflow onto the shelf on which the machine is placed. All in all I would buy it again but it was a step backwards compared to the previous model.	amazon.it	3.0	2024-08-20	tinyeco	Coffee Quality, Machine Performance	Machine Performance, Maintenance and Durability	Excellent coffee	NONE
Coffee machine The machine worked fine for a month now it leaks water from all sides	amazon.it	2.0	2024-08-18	tinyeco	NONE	Machine Performance	NONE	NONE
Comparison machines Lavazza / Nespresso. An excellent espresso coffee machine, in my opinion, makes a coffee cream very similar to that of the café: The previous Nespresso machine was not up to par with this one.	mediaworld.it	5.0	2024-09-27	tinyeco	Coffee Quality, Brand Awareness	NONE	Excellent espresso coffee	NONE
Great purchase. Great coffee machine at an affordable price. Very efficient and quite quiet.	amazon.it	5.0	2024-09-01	tinyeco	Price & worth, Machine Performance, User Experience	NONE	Affordable price	NONE
'COFFEE MACHINE' simple and well made. Compact, simple, very valid, a guarantee of reliability.	amazon.it	5.0	2024-09-16	tinyeco	Design and Materials, Machine Performance, Durability	NONE	Well made	NONE
Like the coffee from the café. Definitely a great purchase. This coffee machine, functioning with easily available pods on Amazon, works perfectly and guarantees a good and creamy coffee, better than that of the bar!	amazon.it	5.0	2024-09-15	tinyeco	Coffee Quality, Capsules and Compatibility, Machine Performance	NONE	Good and creamy coffee	NONE
Great product Great product 5 stars all around.	amazon.it	5.0	2024-10-10	tinyeco	NONE	NONE	NONE	NONE
Beautiful aesthetically Beautiful and compact, it heats up quite quickly, it is not particularly silent but considering the short time it takes to prepare the coffee it is acceptable	amazon.it	5.0	2024-10-25	tinyeco	Design and Materials, Machine Performance	Machine Performance	Beautiful and compact	NONE
