text	positiveTopicClass	negativeTopicClass
Super easy and does the job- love it! This is a great little addition to the kitchen if you’re just after a good espresso or Americano coffee. It’s compact and super easy to use. Comes with a taster box of capsules to find your ideal taste/strength.	Coffee Quality, User Experience, Design and Materials, Capsules and Compatibility	NONE
Brilliant little machine Brilliant machine, we were looking for something easy to use which didn't take up too much space....this one fits the bill perfectly. Really pleased	User Experience, Design and Materials	NONE
It’s ok.. Vibrates pretty dramatically when in use. - cup often falls out	NONE	Machine Performance, User Experience
Great for deaf masochists Do you enjoy the sound of jackhammers and road drills? Do you own the world's smallest cups? Is your idea of fun holding onto a filling cup so it doesn't vibrate off the coffee machine and all over your countertops? Then this is the machine for you. Guaranteed to help you and your neighbours wake up in the mornings, with its coffee-creating roar, dancing across the kitchen sounding like a 737 on take off, dribbling lukewarm coffee into your thimble-sized cup.	NONE	Machine Performance, User Experience, Coffee Quality
Fabulous I absolutely love this coffee machine, very easy to use and it looks very nice too in my orangery. I'm in love with it.	User Experience, Design and Materials	NONE
Coffee I love the fact that it’s so easy to use.	User Experience	NONE
Makes a great Americano! A perfect machine for me! Easy to use and easy to clean. And a great price.	Coffee Quality, User Experience, Price & worth, Maintenance and Durability	NONE
BetteR reviews than the lavazza bigger Machines and excellent little machine. I had the previous model for 6 years and replaced it. Excellent reviews, neat, compact and very pleased.	User Experience, Design and Materials, Maintenance and Durability	NONE
Great machine! Great machine! Easy and quick to use. Lavazza coffee is the best, and this machine is the ideal way to prepare an authentic espresso. Very pleased.	Coffee Quality, User Experience	NONE
Great! But problem with pod tray. I loved this immediately on opening. Used it (very simple) and great coffee, however on second use, the pod tray will not release. Nothing will budge it. I contacted Lavazza for troubleshooting support but was told it had to be returned to seller. Now waiting for a response. I did ask for a replacement but seems it defaults to refund. It’s a shame because it’s a great little machine. I purchased the milk frothing machine to go with it. Great bit of kit. I’m going to miss it until I can replace it. Would have given 5 stars if it wasn’t for this fault.	Coffee Quality, User Experience	Machine Performance, Services and Logistics
Fab! Fab! Can't believe you can get something so perfect so inexpensively ! Have used with pods and coffee wonderful.	Coffee Quality, Price & worth, Capsules and Compatibility	NONE
Great little coffee machine Great little machine to replace my 8 year old lavazza machine which unfortunately have up the ghost. Easier to clean and maintain and makes great coffees.	Coffee Quality, User Experience, Maintenance and Durability	NONE
Good value Good value small machine which makes excellent coffee. Doesn’t have automatic dispense feature like my larger machine but soon get used to when to stop.	Coffee Quality, User Experience, Price & worth	NONE
Great little machine Highly recommend this neat & adequate machine. Just the right size if all you want is a great expresso coffee. Hardly any cleaning involved.	Coffee Quality, User Experience, Design and Materials, Maintenance and Durability	NONE
Fabulous Amazing product and worth every penny	Price & worth	NONE
Easy to use. Great coffee. Great little machine. Easy to use, no fuss, great coffee.	Coffee Quality, User Experience	NONE
Best cup of coffee I have six different coffee machines and the last one I purchased was a lavazza An older model and desperately tried to get hold off the water jug at the back of the machine but no one seems To do the spare part as mine had broke transporting it totally my fault. So when I spotted this machine at Amazon on offer I purchased it as I found with the last machine it was definitely the best tasting coffee out of the other five coffee machines I have. And a big plus is now you can buy the compatible pods to fit it Which works out about 10p a cup which is great I would definitely Recommend this machine you can’t go wrong	Coffee Quality, User Experience, Price & worth, Capsules and Compatibility	NONE
Love it! Love it. Very good value for money,	Price & worth	NONE
Very good & practical coffee maker! Very happy with this coffee maker, flavour of lavazza coffee superb!	Coffee Quality, User Experience	NONE
Successful gift Bought this as a gift for my hubby and he loves it	User Experience	NONE
Great budget coffee maker I also have a Lavazza Jolie Plus, which is more than double the cost. This newer model is well thought out, and I would buy this rather than the more expensive models - higher water capacity, easy to use. Doesn't have programmable volume dispensed, but that doesn't work very well on Jolie Plus anyway	User Experience, Design and Materials, Price & worth	Machine Performance
Brilliant I was looking at these and Nespresso machines for a long time and the pods and cost. Lavazza was cheaper. I wasn't crazy about the Lavazza filter coffee I'd had in the past, it was fine but nothing special, just good plain coffee. In the end I saw this tiny in white for 35 quid and thought let's try it, Lavazza is quality, and I'd never had pod coffee before. The machine is cute and so small. I have it in my bedroom near desk. Very easy to install and use. People are having problems with the pod tray? No idea what they're talking about. Easy to use. You get a small box with selection of different coffees, tried them, not a bad one but I have my preferences, I bought Pasionale in bulk from amazon at very cheap price. Awesome taste. I won't be going back to filter coffee. I plan at some point to get a Nespresso (in a few months) too so I can have both probably but for now I'm so happy with this, way better than expected, couldn't live without it now. Its so small that it's very portable too. One of the best purchases I've made. Anyone who sees it wants one. Coffee pod reviews, brief: 1. pasionale - chocolatey, strong. bought from amazon 256 pods for 50gbp, great price. 2. qualita rossa - standard coffee taste, strong, good for everyday. 3. tierra bio - light, slight choc, floral, easy to drink. won't buy again: 4. delizioso - mild, not keen on aftertaste. ones i haven't tried yet: 5. decaff - haven't tried. i dont drink decaff. 6. lungo dulce - larger coffee, haven't tried. 7. espresso intenso - havent tried, will try next. the strongest.	Coffee Quality, User Experience, Design and Materials, Price & worth, Capsules and Compatibility, Brand Awareness	NONE
Not the best The second one i have first was ace lasted 3 years or so . This one is rubbish	NONE	Machine Performance, Maintenance and Durability
Great quality Very good machine	Machine Performance	NONE
First class. First rate coffee. Its what I look forward to most first thing in the morning.	Coffee Quality, User Experience	NONE
Great little machine, but!! Really wanted to like this machine as it appears really well made and compact. Coffee is made quite quickly and all of the range of pops taste nice. The pod how;der has a particularly nice feel to it when replacing pods. If you drink your coffee as espresso in a small espresso cup/glass I'm sure you'll be delighted with this machine. However, if you like a longer coffee in a taller mug as latte or cappucchino then the machine is not ideal as in order to get a mug under the delivery nozzle it is necessary to remove the stand/drip tray before positioning a mug. This is a bit inconvenient, but becomes more of a problem if you do not hand hold the mug in place whilst the machine is brewing as it vibrates to the extent that the mug moves from under the nozzle and your coffee goes over the work surface. I returned our two machines for this reason and bought the Idola model instead which we are very pleased with despite it being 3 times the price.	Coffee Quality, Design and Materials, User Experience	Machine Performance
Waste of money The coffee out of this machine is tasteless plus it was not very hot. The machine is now in the refuse centre as the spent capsule somehow got stuck. I had 2 indifferent cups of coffee; the third capsule refused to come out, it was obviously so embarrassed at its lack of taste it jammed its lid against the draw opening. Save your money, look elsewhere.	NONE	Coffee Quality, Machine Performance
Small, pretty and high quality Great size; small neat and excellent quality manufacturing . Use it daily and live it!	Design and Materials, Machine Performance	NONE
coffee machine First time having a coffee work really nice easy to use	User Experience, Machine Performance	NONE
Best espresso machine! It is so practical and it makes such a good coffee! Very good price as well!	Coffee Quality, User Experience, Price & worth	NONE
espresso like in a cafe bought for my girlfriend, we both love it for the facility of use and the taste of the espresso	Coffee Quality, User Experience	NONE
Good I love it, it’s just a bit noisy	User Experience	Machine Performance
Excellent Optimum product	NONE	NONE
Best Buy Ever! Wish I had bought one sooner! Incredible little machine with the power of the big one for a great price and fits absolutely lovely in my small kitchen. We’re having amazing coffee every morning before work now and family and friends love it when they come over.	Coffee Quality, User Experience, Design and Materials, Price & worth	NONE
Great coffee not the best machine... It was just so noisy. The coffee was really good but the machine just vibrates so badly that my mug would fall off if I didn’t hold it. I ended up buying the modo mio desea. Which is amazing and has an inbuilt frother too.	Coffee Quality	Machine Performance
Good product at a great price Great little machine, I've owned 2 nespresso machines in the past and recently used one of these in Italy, I was so impressed I bought one when I returned home. Makes great Italian blend coffee .... check out the caffe bourbon range of pods	Coffee Quality, Machine Performance, Price & worth, Brand Awareness, Capsules and Compatibility	NONE
Great Coffee Great tasting coffee quick and easy. I prefer to Nespresso	Coffee Quality, User Experience	Brand Awareness
A modo mio So all perfect... The machine work very well... Best price and best seller	Machine Performance, Price & worth	NONE
Easy to use Great	User Experience	NONE
Very good the advice is excellent warms up immediately and makes excellent coffee	Coffee Quality, Machine Performance, User Experience	NONE
You get what you pay for As others have said this machine is quite noisy. If you don’t mind the noise as well as having to hold the cup whilst the machine is working then go for it. I don’t mind as the price is low and so are my expectations. Hold the cup, wear earplugs and you should be fine	Price & worth, User Experience	Machine Performance
Good flavour Very good and easy to use.	Coffee Quality, User Experience	NONE
Great tasting coffee made easy Simple to use and the taste is great. Comes with sample capsules so you can try different types. Really quick to warm up (10 seconds) and great espresso takes 25 seconds. Great for a quick morning kick.	Coffee Quality, User Experience, Capsules and Compatibility, Machine Performance	NONE
Nice coffee to drink Best coffe machine I love it	Coffee Quality	NONE
Better than Nespresso Better than Nespresso	Coffee Quality	Brand Awareness
Perfect Perfect	NONE	NONE
Simplicity I now use it the most often, although it took time to 'settle in'. Next to Lavazza's own coffee, I do like that provided by 'Italian Coffee'. Both work well in this machine.	User Experience, Coffee Quality	NONE
Buy one, you won't regret it. I love this thing. It kicks the arse out of my previous Nespresso. Better flavour and value for money.	Coffee Quality, User Experience, Price & worth, Brand Awareness	NONE
Good Item is good , seize of espresso box not standard	Machine Performance	Capsules and Compatibility
Easy to use, works really well. I received my order even one day early then the scheduled delivery. The machine works really well, easy to use, easy to clean. Coffe comes rich and creamy.	Coffee Quality, User Experience, Maintenance and Durability, Services and Logistics	NONE
Lovely machine. Great tasting coffee Great little machine. Consistent coffee. Nit noisy at all and easy to clean	Coffee Quality, User Experience, Machine Performance, Maintenance and Durability	NONE
amazing product top quality coffee. Cant tell its from a pod	Coffee Quality	NONE
A Great 'little' Buy! Bought this for work. I only drink espresso so don't do latte or anything like that. I work at two sites.I have a nespresso machine at home and at one of the places where I work. Bought this as a Black Friday deal for my other work place. Yes it's a bit noisy but the lavazza coffee is pods give great coffee. I'm getting hot well balanced coffee with a proper Italian crema and far far better quality than a Costa or Starbucks or in fact Weatherspoons whose Lavazza coffee is not good. Highly recommended!	Coffee Quality, Machine Performance, Price & worth	Machine Performance
Small and easy coffee pod machine Appearance is neat with small footprint. LaVazza coffee pods have a great taste.	Design and Materials, Coffee Quality, User Experience	NONE
Good Machine Great value for money over Nespresso	Price & worth, Machine Performance	NONE
superb good	NONE	NONE
Simple to use, small, low profile expresso machine for Lavazza pods. I bought this to replace a Lavazza Fantasia (a much bigger machine which also froths milk) because the heating unit had failed after 3 years of use. As I'm the only person in the home who drinks fresh coffee this much smaller, and cheaper, machine was an ideal replacement. It only makes expresso, but I have a milk jug with a manual frother that I can use if i want to make cappuccino. Expresso is also a good way to go if you are dieting, which I am, as I can then skip the calories in milk. It seems like a good machine so far, which seems to be solidly made.	Machine Performance, Price & worth, User Experience, Design and Materials	Maintenance and Durability
Quality espresso Superior to my Nespresso! Lavazza coffeepods contain more coffee than Nespresso and an espresso is extracted more slowly. Very tasty. This compact machine does vibrate. My coffee machines sit on a small mat which mitigates this somewhat, once the cup starts to fill it stays in place. I purchased this after reading a Which? review which I don’t regret!	Coffee Quality, Machine Performance, Price & worth	Machine Performance
Compact but hold on to your cup! This was too replace my old Modo Mio machine that had given up after several years. I prefer the design of this aesthetically but practically, the cup holder/tray is smooth and too small. I learned this the hard way when my almost full cup of coffee vibrated off and spilt everywhere. I now hold the cup in place as the coffee is made. An annoying ‘niggle’! Otherwise I like the size of the water tank and how easy it is to fill, the small size is perfect and I like the single button to control it.	Design and Materials, Machine Performance, User Experience	Machine Performance, User Experience
Fast convenient coffee. Good to have if you need an espresso quickly.	Machine Performance, User Experience	NONE
Très bonne machine6 Good machine. Makes excellent coffee. Affordable capsules and with a wide variety of choices. Delighted with this purchase.	Coffee Quality, Capsules and Compatibility, Price & worth, Machine Performance	NONE
Excellente machine à café!!! Very good capsule machine A modo mio, very easy to set up, super fast heating, about fifteen seconds, very easy reservoir filling, a little noisy, but not bothersome. I recommend this coffee machine.	Machine Performance, User Experience, Price & worth	Machine Performance
Good value for money Easy to use.	Price & worth, User Experience	NONE
Très bon café ! Compact coffee maker, takes up little space, suitable for small areas. Lavazza coffee is delicious.	Coffee Quality, Design and Materials	NONE
bon rapport qualité prix I am very satisfied because I bought it on sale. Just a little noisy.	Price & worth, User Experience	Machine Performance
Very good coffee maker Very compact and silent...	Coffee Quality, Design and Materials	Machine Performance
Excellente machine a café a dosettes A modo mio Ultra fast heating, 15 seconds, very convenient water tank, almost 1L, I recommend this coffee machine.	Machine Performance, User Experience	NONE
Très pratique Great machine, Lavazza capsules (a true espresso), only drawback, a bit noisy, but the taste of a real coffee is excellent!	Machine Performance, Coffee Quality	Machine Performance
Top-class coffee machine from Lavazza We got to know and appreciate the Lavazza A Modo Mio coffee machine during our vacation in Italy. It is a very easy-to-use device, you can't go wrong with it. There is a wide range of coffee capsules available in different roasts and flavors. The machine works flawlessly, it just needs to be descaled occasionally. The coffee tastes great and the brewing process is very quick.	Coffee Quality, User Experience, Machine Performance, Capsules and Compatibility	Maintenance and Durability
Ok very well	NONE	NONE
Toll The coffee is mega delicious. 2 deductions. The machine is loud at first and the coffee slowly comes out in a very small stream.	Coffee Quality	Machine Performance
Great The coffee machine arrived very quickly. I am very satisfied with the machine and the taste of the coffee is great.	Coffee Quality, Services and Logistics	NONE
Qualité de l'extraction A Modo Mio, which I have known for a long time, is for me the capsule system that yields the best result in the cup (slow extraction, coffee quality), with a true crema and not a foam, no matter how fine it may be. This system deserves to be more visible. The machine is very practical: only one button, easy to clean because there is no capsule tray, therefore more hygienic. Short heating time: 25 seconds. It is manual, but that suits me well. It also turns off very quickly if not manually turned off. A blind purchase.	Coffee Quality, Machine Performance, User Experience	NONE
J adore Best coffee	Coffee Quality	NONE
Impeccable quality / price The coffee is beautifully creamy like much more expensive machines. The cleaning is very simple and with suitable capsules you can also save something.	Coffee Quality, Price & worth, User Experience, Capsules and Compatibility	NONE
Review Very noisy, it vibrates even if placed on a solid surface, so the cup moves better to hold it with your hand. For the rest, excellent and beautiful	Design and Materials, Machine Performance	Machine Performance
Highly recommended! I must say that I have been on the safe side many friends use this coffee machine and it has absolutely not disappointed my expectations indeed! Highly recommended!	User Experience, Brand Awareness	NONE
As expected! Compact, practical, functional. For the price, absolutely recommended!	Design and Materials, User Experience, Price & worth	NONE
A real espresso I must say that it is small and at the same time very practical, and it gets warm in 15 s. Wonderful	Design and Materials, Machine Performance, Coffee Quality, User Experience	NONE
Great coffee Excellent coffee, machine easy to use, promises kept, recommended!	Coffee Quality, User Experience, Machine Performance	NONE
Great coffee An easy-to-use household appliance that makes excellent coffee	Coffee Quality, User Experience, Machine Performance	NONE
Too nice Recommended ...	User Experience	NONE
takes up little space and fits well anywhere great coffee and easy to use	Design and Materials, Coffee Quality, User Experience	NONE
coffee machine fine	Machine Performance	NONE
fantastic arrived today, beautiful excellent coffee, I needed it, small the right, but great machine, thanks to amazon, for the recommended punctuality	Coffee Quality, Design and Materials, Services and Logistics, User Experience	NONE
Great Great product. Thanks to Lavazza I started drinking coffee again. Fixed with espresso machines, I've changed at least a dozen over the years. Now with waffles my wife is happier as she no longer has to pick up coffee on the floor or around the machine. Small, aesthetically beautiful and functional.	Design and Materials, Machine Performance, User Experience	NONE
Nice design Evolution of the machine I already had. Noisier pump. We'll see how long it will last	Design and Materials, Machine Performance	Machine Performance
all compatible pods can be used, good flavor and right temperature excellent machine, simple to use, it does its job according to the recommended description	Capsules and Compatibility, Coffee Quality, Machine Performance, User Experience	NONE
noisy Absolutely the most noisy Lavazza machine I've bought in recent years	NONE	Machine Performance
Great coffee I love it Makes delicious coffee	Coffee Quality	NONE
I bought two bought to replace the broken nespresso, and I find this nice little machine, nice and very easy to use. the coffee goes down slowly compared to the nespresso, obtaining a full-bodied coffee with an excellent taste, superior to that of the nespresso which is more watery. convenient is the pod holder without container, I thought that emptying it every time was boring but no, much more comfortable you don't have to remember to empty the container of used pods that blocks the machine avoiding blockages and sprays nor waste of the damaged pod. an advice don't buy the waffles on amazon because they are old the taste of the coffee knows of old even if they are original pods Lavazza the supermarket near home to better quality at the same price. sorry amazon but it is so.	Coffee Quality, Machine Performance, User Experience, Capsules and Compatibility	Capsules and Compatibility, Maintenance and Durability
Everything ok top product Perfect machine, fast shipping and great price.	Machine Performance, Services and Logistics, Price & worth	NONE
Great Great product. Shipped perfectly	Services and Logistics	NONE
Perfect, excellent Excellent coffee machine throughout	Machine Performance, User Experience	NONE
fantastic I could sum it all up in one word ... fantastic. It is not silent like the more expensive sisters but the coffee comes out perfect. It warms up in an instant and turns itself off. It does not have a used pod holder but you will gain in space	Coffee Quality, Machine Performance, User Experience, Design and Materials	Machine Performance
Tiny Lavazza Practical, nice, not bulky. What I was looking for! Excellent value for money. Capsules compatible with other brands.	Design and Materials, Price & worth, Capsules and Compatibility, User Experience	NONE
Well. Delivered in advance. For now it works well.	Services and Logistics, Machine Performance	NONE
Small, compact and creamy coffee like at the bar. Good coffee machine, small and compact. The coffee comes out creamy with both original and compatible capsules, such as Vergano or Borbone. It can be used both with cups, keeping the cup support container, and with higher cups or glass by removing the support container. Yes, it is not very silent and vibrates, but those who talk about cups that fall if not kept go too far, only if the water level is below the minimum level. For the noise when warming up before the coffee comes out it is a bit noisy. To remedy the lack of the capsule emptying container, I bought a jar to keep close to the machine and the problem is solved. Now I will look for an anti-vibration mat and everything will be ok.	Coffee Quality, Machine Performance, Design and Materials, Capsules and Compatibility	Machine Performance, User Experience
Ideal for small spaces Silent with a young design	Design and Materials	NONE
new Lavazza in my own way Beautiful and very particular, beautiful colors and easy to use.	Design and Materials, User Experience	NONE
Small, practical coffee machine with excellent value for money Great product. We use it every day in the office and I have not hesitated and give it to relatives as well. Small, it takes up little space and pods are easily found even by the competition.	Design and Materials, Price & worth, Capsules and Compatibility	NONE
Excellent Recommend, great product :red_heart:	User Experience	NONE
Great product!!! Great product ... everything as described! recommended...	User Experience	NONE
Great 2 machine that I buy .. I took this for a gift given the excellent impression that made me the previous one that I had purchased for me .. I decided to buy it on Amazon even if paid as in the store (why? Why Amazon deserves ) Amazon flawless as always. consigliatissima	User Experience, Brand Awareness, Services and Logistics	NONE
Great Excellent service, easy to use and exceptional taste.	User Experience, Services and Logistics, Coffee Quality	NONE
Great product I already knew the product and I was so happy that I bought back the same one	Brand Awareness, User Experience	NONE
I thought bigger. Cute coffee maker, very short thread, ki decides to put it on a kitchen counter, it is necessary to evaluate the length of the thread, with the extension it is very bad, before buying it check the length	Design and Materials	Design and Materials
We can no longer do without it. Excellent product, given for the birthday of my boyfriend, who arrived on time, with the first mode in two days. Makes a fairytale coffee, creamy and intense. The only slightly painful note is the vibrations it produces in the coffee brewing, but on the other hand it is an excellent product and the price-quality wins. Recommended.	Coffee Quality, Machine Performance, Services and Logistics, User Experience	Machine Performance
Economic and practical. Economic and practical. Always use Panna water and it will never calcify!	Price & worth, User Experience, Maintenance and Durability	NONE
Beautiful and functional Easy to make coffee, there are many types of pods, even the small, handy tea is easy to clean, perfect!	Design and Materials, User Experience, Capsules and Compatibility, Maintenance and Durability	NONE
Coffee as in the bar Small but large, easy to use, easy to clean, the heady taste	Coffee Quality, Design and Materials, User Experience, Maintenance and Durability	NONE
