text	label	topics	positive_topics	negative_topics	sentiment
Subscribe to my channel for more reviews :video_camera:	0				Neutral
The water filter system is impressive :droplet:	1	Maintenance and Durability	Maintenance and Durability		Positive
Wish they had more color options :art:	1	Design and Materials	Design and Materials		Negative
Energy consumption is surprisingly low :electric_plug:	1	Environmental Impact, Machine Performance	Environmental Impact, Machine Performance		Positive
The steam wand is a game changer :hot_beverage:	1	Machine Performance	Machine Performance		Positive
Keeps shutting down randomly :warning:	1	Machine Performance		Machine Performance	Negative
Can't beat that Italian engineering :wrench:	1	Brand Awareness, Machine Performance	Brand Awareness, Machine Performance		Positive
Quick heat up time is perfect for busy mornings :alarm_clock:	1	Machine Performance	Machine Performance		Positive
Machine arrived damaged :broken_heart:	1	Services and Logistics		Services and Logistics	Negative
Love the automatic cleaning cycle :sparkles:	1	Maintenance and Durability, User Experience	Maintenance and Durability, User Experience		Positive
Great customer support from Lavazza :speaking_head:	1	Services and Logistics	Services and Logistics		Positive
The capsule prices are getting expensive :money_with_wings:	1	Price & worth, Capsules and Compatibility		Price & worth, Capsules and Compatibility	Negative
Been through three replacements already :angry:	1	Machine Performance, Services and Logistics, Maintenance and Durability		Machine Performance, Services and Logistics, Maintenance and Durability	Negative
Perfect pressure for authentic espresso :coffee:	1	Coffee Quality, Machine Performance	Coffee Quality, Machine Performance		Positive
How do I clean the milk system? :question:	0	Maintenance and Durability		Maintenance and Durability	Neutral
The build quality is outstanding :star:	1	Design and Materials, Maintenance and Durability	Design and Materials, Maintenance and Durability		Positive
Wish it had a larger water tank :droplet:	1	Design and Materials		Design and Materials	Negative
Smart features are worth the upgrade :robot:	1	User Experience	User Experience		Positive
Check out my coffee page :camera:	0				Neutral
Descaling process is too frequent :warning:	1	Maintenance and Durability		Maintenance and Durability	Negative
Amazing crema every single time :coffee:	1	Coffee Quality	Coffee Quality		Positive
The app needs serious updates :mobile_phone:	1	User Experience		User Experience	Negative
Alexa integration works flawlessly :robot:	1	User Experience	User Experience		Positive
Not great for large households :house:	1	Design and Materials		Design and Materials	Negative
Warranty service was quick and efficient :wrench:	1	Services and Logistics	Services and Logistics		Positive
Following for more content! :thumbs_up:	0				Neutral
The temperature consistency is remarkable :thermometer:	1	Coffee Quality, Machine Performance	Coffee Quality, Machine Performance		Positive
Compatible capsules don't work well :warning:	1	Capsules and Compatibility		Capsules and Compatibility	Negative
Machine looks premium and modern :sparkles:	1	Design and Materials	Design and Materials		Positive
Eco mode saves a lot of energy :leaf:	1	Environmental Impact, Machine Performance	Environmental Impact, Machine Performance		Positive
DM for collaboration :envelope:	0				Neutral
The pressure pump is too noisy :sound:	1	Machine Performance		Machine Performance	Negative
Perfect size for my office desk :briefcase:	1	Design and Materials	Design and Materials		Positive
Italian coffee at its finest :coffee:	1	Coffee Quality	Coffee Quality		Positive
Nice unboxing! :package: What's your next review?	0				Neutral
The auto-off feature is great for safety :check_mark:	1	User Experience, Machine Performance	User Experience, Machine Performance		Positive
Support team helped fix my issue quickly :speaking_head:	1	Services and Logistics	Services and Logistics		Positive
Love the minimal design aesthetic :art:	1	Design and Materials	Design and Materials		Positive
